path,depth,drive,junkfiles,removed_utc
"D:\FromPJ211collegeAll\Vids\Videos\Captures",4,D,empty,2026-08-29T06:16:31
"D:\FromPJ211collegeAll\Vids\Videos",3,D,empty,2026-08-29T06:16:31
"D:\FromPJ211collegeAll\Vids",2,D,empty,2026-08-29T06:16:31
"D:\FromPJ211CollegeNotM\Pictures\Camera Roll",3,D,empty,2026-08-29T06:16:31
"D:\FromPJ211CollegeNotM\Pictures\Saved Pictures",3,D,empty,2026-08-29T06:16:31
"D:\FromPJ211CollegeNotM\Vids\Videos Important Personal History\Captures",4,D,empty,2026-08-29T06:16:31
"D:\FromPJ211CollegeNotM\Vids\Videos Important Personal History",3,D,empty,2026-08-29T06:16:31
"D:\M DRIVE\Videos",2,D,empty,2026-08-29T06:16:32
"D:\Neuro Videos\My Documents\My Music",3,D,empty,2026-08-29T06:16:32
"D:\Neuro Videos\My Documents\My Videos",3,D,empty,2026-08-29T06:16:33
"D:\Ryzen9 Mdrive\Videos\Captures",3,D,empty,2026-08-29T06:16:35
"D:\WD Old\ToBack q 2012 mostly neuro\My Documents\My Videos",4,D,empty,2026-08-29T06:16:35
"E:\FromC\PortableApps\Documents\Music",4,E,empty,2026-08-29T06:16:37
"E:\FromC\PortableApps\Documents\Pictures",4,E,empty,2026-08-29T06:16:37
"E:\FromC\PortableApps\Documents\Videos",4,E,empty,2026-08-29T06:16:37
"E:\FromM\Videos Aquarium\Captures",3,E,empty,2026-08-29T06:16:37
"E:\FromM\Videos\Captures",3,E,empty,2026-08-29T06:16:37
"E:\FromM\Videos",2,E,empty,2026-08-29T06:16:37
"G:\on_crucialx10\PNY256fast\dropbox bu\Phil W Photos",4,G,empty,2026-08-29T06:16:42
"G:\Partly_emptied\FromSea4\Ryzen8 Cdisk\Users\Pw\3D Objects",6,G,empty,2026-08-29T06:16:42
"G:\Partly_emptied\PJ211 C and D\Dropbox\Phil W Photos",4,G,empty,2026-08-29T06:16:42
"G:\Partly_emptied\SeagateRedSlow17\Videos Aquarium",3,G,empty,2026-08-29T06:16:42
"G:\timestampchanged_dups\FromSea4\Ryzen8 Cdisk\Users\Public\Downloads",6,G,empty,2026-08-29T06:16:44
"G:\timestampchanged_dups\FromSea4\Ryzen8 Cdisk\Users\Public\Music",6,G,empty,2026-08-29T06:16:44
"H:\_FromRaid\on_crucialx10\PNY256fast\dropbox bu\Phil W Photos",5,H,empty,2026-08-29T06:16:45
"H:\_FromRaid\Partly_emptied\FromSea4\Ryzen8 Cdisk\Users\Pw\3D Objects",7,H,empty,2026-08-29T06:16:45
"H:\_FromRaid\Partly_emptied\PJ211 C and D\Dropbox\Phil W Photos",5,H,empty,2026-08-29T06:16:45
"H:\_FromRaid\Partly_emptied\SeagateRedSlow17\Videos Aquarium",4,H,empty,2026-08-29T06:16:45
"H:\_FromRaid\timestampchanged_dups\FromSea4\Ryzen8 Cdisk\Users\Public\Downloads",7,H,empty,2026-08-29T06:16:45
"H:\_FromRaid\timestampchanged_dups\FromSea4\Ryzen8 Cdisk\Users\Public\Music",7,H,empty,2026-08-29T06:16:45
"H:\0000maybe\Aq Transfer\Videos Aquarium\Captures",4,H,empty,2026-08-29T06:16:45
"H:\0000maybe\diskM ALL\Videos\Captures",4,H,empty,2026-08-29T06:16:45
"H:\0000maybe\M ALL 2025 July\Videos Aquarium\Captures",4,H,empty,2026-08-29T06:16:49
"H:\0000maybe\M ALL 2025 July\Videos\Captures",4,H,empty,2026-08-29T06:16:49
"H:\0000maybe\M ALL 2025 July\Videos",3,H,junkonly,2026-08-29T06:16:49
"H:\0000maybe\M_all 2024 Nov\Videos\Captures",4,H,empty,2026-08-29T06:16:53
"H:\0000maybe\M_all 2025 Feb\Videos\Captures",4,H,empty,2026-08-29T06:16:53
"H:\0000maybe\OffSLOWSLOW Blue1\SandiskExtremeBU\FromMLily\From Old portable\Mushkin64\ALL\2007\m.ff\NORTON NAVIGATOR\icarbon",11,H,empty,2026-08-29T06:16:59
"H:\0000maybe\OffSLOWSLOW Blue1\SandiskExtremeBU\FromMLily\From Old portable\Mushkin64\ALL\documents\My Pictures",9,H,empty,2026-08-29T06:16:59
